,date,prcp,month
2466,2016-12-04,0.03,2016-12-04 00:00:00
2467,2016-12-05,0.43,2016-12-05 00:00:00
2468,2016-12-06,0.02,2016-12-06 00:00:00
2469,2016-12-07,0.0,2016-12-07 00:00:00
2470,2016-12-08,0.03,2016-12-08 00:00:00
2471,2016-12-09,0.52,2016-12-09 00:00:00
2472,2016-12-10,0.05,2016-12-10 00:00:00
2473,2016-12-11,0.04,2016-12-11 00:00:00
2474,2016-12-12,0.01,2016-12-12 00:00:00
2475,2016-12-13,0.05,2016-12-13 00:00:00
2476,2016-12-14,0.03,2016-12-14 00:00:00
2477,2016-12-15,0.0,2016-12-15 00:00:00
2478,2016-12-16,0.0,2016-12-16 00:00:00
2479,2016-12-17,0.01,2016-12-17 00:00:00
2480,2016-12-18,0.13,2016-12-18 00:00:00
2481,2016-12-19,0.01,2016-12-19 00:00:00
2482,2016-12-20,0.0,2016-12-20 00:00:00
2483,2016-12-21,0.0,2016-12-21 00:00:00
2484,2016-12-22,0.01,2016-12-22 00:00:00
2485,2016-12-23,0.01,2016-12-23 00:00:00
2486,2016-12-24,0.01,2016-12-24 00:00:00
2487,2016-12-25,0.0,2016-12-25 00:00:00
2488,2016-12-26,0.02,2016-12-26 00:00:00
2489,2016-12-27,0.0,2016-12-27 00:00:00
2490,2016-12-28,0.02,2016-12-28 00:00:00
2491,2016-12-29,0.04,2016-12-29 00:00:00
2492,2016-12-30,0.12,2016-12-30 00:00:00
2493,2016-12-31,0.01,2016-12-31 00:00:00
2494,2017-01-01,0.0,2017-01-01 00:00:00
2495,2017-01-02,0.0,2017-01-02 00:00:00
2496,2017-01-03,0.0,2017-01-03 00:00:00
2497,2017-01-04,0.0,2017-01-04 00:00:00
2498,2017-01-05,0.0,2017-01-05 00:00:00
2499,2017-01-06,0.0,2017-01-06 00:00:00
2500,2017-01-07,0.0,2017-01-07 00:00:00
2501,2017-01-08,0.0,2017-01-08 00:00:00
2502,2017-01-09,0.0,2017-01-09 00:00:00
2503,2017-01-10,0.0,2017-01-10 00:00:00
2504,2017-01-11,0.0,2017-01-11 00:00:00
